id	date	tweet
1.59E+18	2022-11-01 05:41:54+00:00	"berhubungan dengan rencana CIA yang memang sudah menancapkan kukunya terlalu lama di Indonesia. Bagaimana rencana tersebut? Mari Kita ulas : CIA atau AS Sudah menyiapkan calon Presiden boneka dan bagaimana agenda AS di Indonesia ? 1. Thn 2009, Anies Baswedan mendampingi SBY utk"
1.59E+18	2022-11-01 04:34:54+00:00	@Usuludin321 Berkat polesan bang Anies calon presiden 2024
1.59E+18	2022-11-01 02:20:42+00:00	"@DokterTifa @aniesbaswedan @puanmaharani_ri Kami 7 Turunan dan 7 Tanjakan Bersumpah. 
Haram Bagi Kami Memilih Calon Presiden dan Wakil Presiden RI Dari PDI-P."
1.59E+18	2022-11-01 00:33:47+00:00	"@musniumar Perang jeung aing koplok, saha calon maneh si @aniesbaswedan, najis aing kudu milih imigran yaman. Presiden RI 2024 wajib pribumi asli"
1.59E+18	2022-11-01 00:09:26+00:00	"@Agusta_515 @marlina_idha Terima kasih
Sudah selalu menyimpan dan memajang foto Anies Baswedan Calon Presiden RI 2024..."
1.59E+18	2022-10-31 14:50:50+00:00	"@SimoneNoConte @kumparan Koalisi dulu dibahas untuk memenuhi syarat minimal 20% suara Anies baru bakal calon presiden, belum calon presiden Kecuali koalisi sudah terjadi dan anies didaftarkan ke kpu sebagai calon presiden #NASDEM_LANJUT_BAHAS_KOALISI #NASDEM_PKS_DEMOKRAT"
1.59E+18	2022-10-31 14:48:54+00:00	@DokterTifa @aniesbaswedan @puanmaharani_ri Calon aja ya … 2-2 nya kalo bisa jangan jadi Preseiden dan wakil presiden.
1.59E+18	2022-10-31 12:37:21+00:00	@Tita83079013 Mantapkan pilihan hati ke Anies Baswedan Calon presiden Ri 2024
1.59E+18	2022-10-31 07:21:18+00:00	@Relawananies Pak anies rasyid baswedan calon presiden yg sangat berpotensial. Dibandingkan dengan calon presiden lainya
1.59E+18	2022-10-31 05:19:20+00:00	"@Bambang_Budimab @Muhammad_Saewad PT 20% tidak memungkinkan Anies melakukan itu, Anies terpaksa harus manut pada partai besar untuk dapat jadi calon presiden, kalo pun Anies menang orang-orang yang ada di sekitar kekuasaan nya bakal wajah lama."
1.59E+18	2022-10-31 04:19:28+00:00	"@Ghurem2 Anies ini cuma mau jadi calon presiden ato mau jadi nabi?
Nabi ke 26 barangkali?"
1.59E+18	2022-10-31 03:57:22+00:00	"@DokterTifa @aniesbaswedan @puanmaharani_ri Calon Presiden nya ngak punya partai, anak yang punya partai dan partai no. 1 pula malah mau dijadikan wakil. Jangan menyerah jangan patah semangat 
Teruslah berkarya hingga cacian dan hujatan berubah menjadi makanan mu tiap hari 🤣."
1.59E+18	2022-10-31 02:50:06+00:00	@PoeAmran @Akun___Receh Anies……Bakal calon presiden aja blm tentu lolos…..
1.59E+18	2022-10-30 23:34:48+00:00	@LaskarUmmat @aniesbaswedan mantaap calon presiden kita
1.59E+18	2022-10-30 23:24:55+00:00	@firzahusainInc Belum lelah juga selalu memperhatikan Anies Baswedan Calon Presiden RI 2024
