id,date,tweet
1.59E+18,2022-11-08 03:05:11+00:00,"Dulu juga katanya Jokowi mendukung Ganjar, Puan, Airlangga dsb untuk maju kursi presiden, kemudian dia bila mendukung Prabowo. Apa benar ada pergeseran dukungan dalam konstelasi dan apa penyebabnya. Tuh jadi rumusan skripsi juga kan buat calon sarjana politik berikutnya"
1.59E+18,2022-11-08 02:20:09+00:00,@KompasTV Nyidirnya keterlaluan. Pak Prabowo masih mau jg jd calon Presiden??
1.59E+18,2022-11-07 23:56:06+00:00,"@OposisiCerdas Sy kira ttk seperti itu, krn memang Pak Jokowi sdh tdk boleh lagi mengambil jatah sbg kandidat calon Presiden, sedangkan Pak Prabowo Subianto satu²nya calon Presiden yg sdh 3x ikut sbg kandidat. Kecuali Pak SBY &amp; Megawati juga ikut lagi mencalonkan, baru itu bukan jatah satu²x PS"
1.59E+18,2022-11-07 21:09:57+00:00,"@KompasTV Iya kasihan pak prabowo blm pernah jd presiden, selama ini calon terus blm pernah menang. Netijen emang ndak ada empatinya. 2009 Mega-Pro kalah, 2014 Prabowo-hatta kalah, 2019 prabowo-sandi kalah jg, masa yg 2024 kalah lg..😁"
1.59E+18,2022-11-07 14:40:10+00:00,"""Kalau tahun 2024 calon presiden yang tersedia Prabowo Vs Anies, piye, Bapak pilih siapa?""

Baru saja aku mau jawab, dia menyergah, ""Tidak boleh golput!""

#waduh"
1.59E+18,2022-11-07 13:37:59+00:00,"@suradiparlan5 @jennifer_xixi @triwul82 @jokowi @prabowo apa mahatir aja calon presiden....

Hidup Mahatiirrr..
wkwkwkwk"
1.59E+18,2022-11-07 08:03:42+00:00,Salah satu temuan menarik adalah adanya kecenderungan generasi milenial dan pemilih pemula (first-time voters) lebih memilih Prabowo Subianto sebagai calon presiden 2024-2029 daripada tokoh-tokoh lainnya.
1.59E+18,2022-11-05 22:27:23+00:00,@HelmiFelis_ Sebagai pendukung berat pak Anies Baswedan saya melarang pak Anies maju jadi calon presiden karena kasihan nanti dia harus menyelesaikan hutang jaman pak Jokowi biar yang Laen aja yang menyelesaikan pak Ganjar pak Prabowo sukurin jadi presiden...pusing kan
1.59E+18,2022-11-05 09:11:32+00:00,"@nusantara_one Ternyata Prabowo masuk ke kubu Jokowi, dan tidak lg bersama dg Anies dlm kubu yg BERSEBRANGAN dg Jkw.

Krn kondisi sdh beda, mk komitmen itu sdh bubar di tengah jalan.
Akhirnya, Anies bersedia dan  menerima pinangan utk jd calon presiden."
1.59E+18,2022-11-05 08:22:05+00:00,"Saya berharap pemilu 2024, calon presiden nya, 1. Megawati sokarno putri, 2 Prabowo subianto,3 Anis Baswedan.  Ini akan menjadi pertarungan yang hebat abad ini."
1.59E+18,2022-11-05 03:07:46+00:00,"@Gerindra Kalo drakor genre thriller tema politik calon presiden penuh konspirasi, pak Prabowo lebih milih K2 atau The Chaser 2012?? Hmm…"
1.59E+18,2022-11-04 12:49:50+00:00,"@ChusnulCh__ @terbucinz @FirzaHusainID @03__nakula @Aryprasetyo85 @denni_sauya @seruanhl Q berharap ada 2 calon saja. Karena mereka, akan memakai pola pilkada Jakarta bila 3 calon presiden. Semoga @prabowo dan @ganjarpranowo  VS @aniesbaswedan dan @AgusYudhoyono . Kita All out untuk pak Prabowo Ganjar."
1.59E+18,2022-11-03 06:36:49+00:00,@HelmiFelis_ Mau pak Prabowo atau pak Ganjar yg penting calon presiden nya asli pribumi.
1.59E+18,2022-11-02 20:33:45+00:00,"@beritadalamedia Saya berharap pak prabowo mau jadi calon presiden lagi di tahun 2024, supaya bisa jadi mentri lagi"
